"","indiv_ID","tree.id","leaf_num","seed_mass","area","thickness","lma","seed_num","site","island","species","indiv"
"249","PSY.1.NAF","1",4,0.2119,22.42683983,0.312,0.00944850017239366,NA," naftan"," saipan"," psychotria","PSY.1.NAF.a"
"250","PSY.1.NAF","1",5,0.1204,14.24935065,0.286,0.00844950783774838,NA," naftan"," saipan"," psychotria","PSY.1.NAF.a"
"251","PSY.1.NAF","1",6,0.1495,18.78458874,0.261,0.00795865174741111,NA," naftan"," saipan"," psychotria","PSY.1.NAF.a"
"252","PSY.1.NAF","1",7,0.1119,14.70268398,0.247,0.00761085528004391,NA," naftan"," saipan"," psychotria","PSY.1.NAF.a"
"253","PSY.1.NAF","1",8,0.1528,18.28034632,0.256,0.0083587037863077,NA," naftan"," saipan"," psychotria","PSY.1.NAF.a"
"254","PSY.1.AYU","1",1,0.2248,32.30546888,0.232,0.00695857412981774,NA," ayuyu"," saipan"," psychotria","PSY.1.AYU.a"
"255","PSY.1.AYU","1",2,0.4183,66.35982037,0.242,0.00630351314496785,NA," ayuyu"," saipan"," psychotria","PSY.1.AYU.a"
"256","PSY.1.AYU","1",3,0.1604,21.28145556,0.226,0.00753707844596321,NA," ayuyu"," saipan"," psychotria","PSY.1.AYU.a"
"257","PSY.1.AYU","1",4,0.2271,32.14892899,0.238,0.00706399893043529,NA," ayuyu"," saipan"," psychotria","PSY.1.AYU.a"
"258","PSY.1.AYU","1",5,0.141,21.19360347,0.212,0.00665295074523728,NA," ayuyu"," saipan"," psychotria","PSY.1.AYU.a"
"259","PSY.1.AYU","1",6,0.4599,73.4775468,0.242,0.00625905490900249,NA," ayuyu"," saipan"," psychotria","PSY.1.AYU.a"
"260","PSY.1.AYU","1",7,0.3077,43.61561815,0.254,0.00705481231383167,NA," ayuyu"," saipan"," psychotria","PSY.1.AYU.a"
"261","PSY.1.AYU","1",8,0.1356,16.79967111,0.246,0.00807158658714956,NA," ayuyu"," saipan"," psychotria","PSY.1.AYU.a"
"262","PAP.1.AYU","1",1,41.69,5028.960558,0.17,0.00828998349046109,NA," ayuyu"," saipan"," carica","PAP.1.AYU.a"
"263","PAP.1.AYU","1",2,35.4422,5230.145915,0.159,0.00677652221869225,NA," ayuyu"," saipan"," carica","PAP.1.AYU.a"
"264","PAP.1.AYU","1",3,39.3652,4596.758415,0.147,0.00856368693894043,NA," ayuyu"," saipan"," carica","PAP.1.AYU.a"
"265","PAP.1.LDT","1",1,24.0982,2655.16358,0.15,0.00907597565043431,NA," ladt"," saipan"," carica","PAP.1.LDT.a"
"266","PAP.1.LDT","1",2,28.5447,3090.732909,0.16,0.00923557642812804,NA," ladt"," saipan"," carica","PAP.1.LDT.a"
"267","PAP.1.LDT","1",3,18.4727,2164.76201,0.151,0.00853336298155011,NA," ladt"," saipan"," carica","PAP.1.LDT.a"
"268","AGL.1.ISA","1",1,1.9428,NA,NA,NA,NA," isang"," rota"," aglaia","AGL.1.ISA.a"
"269","AGL.1.ISA","1",2,2.7478,NA,NA,NA,NA," isang"," rota"," aglaia","AGL.1.ISA.a"
"270","AGL.1.ISA","1",3,1.8562,NA,NA,NA,NA," isang"," rota"," aglaia","AGL.1.ISA.a"
"271","AGL.1.ISA","1",4,2.1418,NA,NA,NA,NA," isang"," rota"," aglaia","AGL.1.ISA.a"
"272","AGL.1.ISA","1",5,3.2073,NA,NA,NA,NA," isang"," rota"," aglaia","AGL.1.ISA.a"
"273","AGL.1.ISA","1",6,2.541,NA,NA,NA,NA," isang"," rota"," aglaia","AGL.1.ISA.a"
"274","AGL.1.ISA","1",7,2.3517,NA,NA,NA,NA," isang"," rota"," aglaia","AGL.1.ISA.a"
