"lengthdata","weightdata","weight","length","year","month_num","day","nation","gear","port","lat","lon","newlat","newlon"
NA,NA,NA,NA,1893,NA,NA,"Croatia",NA,NA,44.9,14.62,44.9,14.62
NA,NA,NA,NA,1893,NA,NA,"Croatia",NA,NA,44.94,14.58,44.94,14.58
NA,NA,NA,NA,1893,NA,NA,"Croatia",NA,NA,44.82,14.62,44.82,14.62
NA,NA,NA,NA,1893,NA,NA,"Croatia",NA,NA,44.85,14.59,44.85,14.59
NA,NA,NA,NA,1893,NA,NA,"Croatia",NA,NA,44.83,14.57,44.83,14.57
"200",NA,NA,"200",1894,3,24,"Italy",NA,NA,38.21,13.24,38.21,13.24
NA,NA,NA,NA,1894,3,NA,"Italy",NA,NA,37.41,15.12,37.41,15.12
"470",NA,NA,"470",1894,8,29,"Croatia",NA,NA,45.3,14.55,45.3,14.55
"550",NA,NA,"550",1895,9,2,"Croatia","tuna gillnets",NA,44.91,14.59,44.91,14.59
NA,NA,NA,NA,1895,9,3,"Croatia",NA,NA,44.92,14.58,44.92,14.58
NA,NA,NA,NA,1896,9,14,"Italy",NA,NA,44.26,8.46,44.26,8.46
NA,NA,NA,NA,1896,10,19,"Italy",NA,NA,44.4,8.89,44.4,8.89
NA,1429,"1429",NA,1898,5,14,"Malta","tuna trap",NA,35.97,14.36,35.97,14.36
"500",1000,"1000","500",1898,6,5,"Italy","tuna trap",NA,42.81,10.33,42.81,10.33
"550",2000,"Ca. 2000","550",1898,NA,NA,"France","net",NA,43.1,6.5,43.1,6.5
NA,NA,NA,NA,1899,NA,NA,"France",NA,NA,42.81,5.44,42.81,5.44
"200",NA,NA,"Ca. 200",1899,NA,NA,NA,NA,NA,34.51,18.06,34.51,18.06
"550",1500,"1500","550",1900,1,NA,"Italy","tuna trap",NA,37.94,12.33,37.94,12.32
NA,NA,NA,NA,1900,5,NA,NA,NA,NA,34.59,18.04,34.59,18.04
NA,NA,NA,NA,1900,NA,NA,"Italy",NA,NA,43,10.52,43,10.52
"520",NA,NA,"520",1901,7,15,"Croatia",NA,NA,42.64,18.09,42.64,18.09
"500",NA,NA,"500",1901,NA,NA,NA,NA,NA,43.47,16.44,43.47,16.44
NA,NA,NA,NA,1902,9,NA,NA,NA,NA,34.53,18.03,34.53,18.03
NA,370,"370",NA,1902,11,NA,"Italy","tuna trap",NA,43,10.51,42.99,10.5
NA,400,"400",NA,1902,12,NA,"Italy","tuna trap",NA,43,10.51,42.99,10.5
"375",NA,NA,"375",1902,NA,NA,"Italy",NA,NA,45.65,13.78,45.65,13.78
"600",1200,"1200","Ca. 600",1903,5,21,"Croatia",NA,NA,44.99,14.9,44.99,14.9
NA,500,"500",NA,1903,8,NA,"Italy",NA,NA,38.25,15.62,38.25,15.62
NA,NA,NA,NA,1905,5,21,"Italy","longlines",NA,42.81,10.2,42.81,10.2
"510",NA,NA,"510",1905,5,29,"Croatia",NA,NA,44.92,14.59,44.92,14.59
"400",NA,NA,"400",1905,6,NA,"France",NA,NA,43.32,5.3,43.32,5.3
"600",NA,NA,"600",1906,2,20,"Spain","tuna trap",NA,39.99,3.82,39.99,3.82
"522",1800,"1800?","522",1906,5,29,"Croatia",NA,NA,45.28,14.58,45.28,14.58
"620",1800,"1800","620",1906,NA,NA,"Croatia",NA,NA,45.27,14.56,45.27,14.56
"600",NA,NA,"Ca. 600",1907,3,7,"Malta",NA,NA,35.86,14.58,35.86,14.58
NA,597,"597",NA,1907,NA,NA,"Italy","tuna trap",NA,42.99,10.5,42.99,10.5
NA,NA,NA,NA,1908,1,NA,"Croatia",NA,NA,44.81,13.94,44.8,13.9
NA,NA,NA,NA,1908,1,NA,"Croatia",NA,NA,42.97,17.17,42.97,17.17
"170",NA,NA,"170",1908,5,19,"Croatia",NA,NA,43.86,15.26,43.86,15.26
NA,1400,"1400",NA,1908,6,NA,"Italy",NA,NA,45.66,13.6,45.66,13.6
NA,NA,NA,NA,1908,12,NA,"Italy",NA,NA,38.17,15.55,38.16,15.55
NA,NA,NA,NA,1908,NA,NA,"France",NA,NA,43.44,4.41,43.44,4.41
NA,NA,NA,NA,1908,NA,NA,"France",NA,NA,43.39,4.98,43.39,4.98
"223",NA,NA,"223",1908,NA,NA,NA,NA,NA,34.62,18.04,34.62,18.04
NA,NA,NA,NA,1908,NA,NA,NA,NA,NA,34.56,18.01,34.56,18.01
